id	position	name	GSM2522670
B01R16C15	1-15-16	Hs~Ref:NM_001641.2~uORF:IOH5081	449
B01R16C16	1-16-16	Hs~Ref:NM_001641.2~uORF:IOH5081	572
B01R16C17	1-17-16	Hs~Ref:NM_005740.1~uORF:IOH4940	406
B01R16C18	1-18-16	Hs~Ref:NM_005740.1~uORF:IOH4940	382
B01R16C19	1-19-16	Hs~Ref:NM_019070.1~uORF:IOH5264	585
B01R16C20	1-20-16	Hs~Ref:NM_019070.1~uORF:IOH5264	1314
B01R16C21	1-21-16	Hs~Ref:NM_001696.2~uORF:IOH5034	493
B01R16C22	1-22-16	Hs~Ref:NM_001696.2~uORF:IOH5034	323
B01R17C01	1-1-17	Hs~MGC:BC012485.1~uORF:IOH10861	539
B01R17C02	1-2-17	Hs~MGC:BC012485.1~uORF:IOH10861	565
B01R17C03	1-3-17	Hs~Ref:NM_003978.2~uORF:IOH3303	410
B01R17C04	1-4-17	Hs~Ref:NM_003978.2~uORF:IOH3303	411
B01R17C05	1-5-17	Hs~Ref:NM_005793.3~uORF:IOH3852	444
B01R17C06	1-6-17	Hs~Ref:NM_005793.3~uORF:IOH3852	437
B01R17C07	1-7-17	Hs~Ref:NM_002135.3~uORF:IOH10133	380
B01R17C08	1-8-17	Hs~Ref:NM_002135.3~uORF:IOH10133	375
B01R17C09	1-9-17	Hs~MGC:BC063110.1~uORF:IOH40721	796
B01R17C10	1-10-17	Hs~MGC:BC063110.1~uORF:IOH40721	775
B01R17C11	1-11-17	Hs~Ref:NM_033185.2~uORF:IOH40389	392
B01R17C12	1-12-17	Hs~Ref:NM_033185.2~uORF:IOH40389	411
